pdb2eav.ent|A 3
pdb2aph.ent|B 3
pdb2eav.ent|B 3
pdb2eax.ent|A 3
pdb1twq.ent|A 3
pdb2aph.ent|A 3
pdb2eax.ent|C 3
pdb2eax.ent|B 3
pdb3nno.ent|A 3
pdb3nno.ent|B 3
pdb1sk3.ent|A 3
pdb3nno.ent|D 3
pdb3uil.ent|B 3
pdb1si6.ent|X 3
pdb2imq.ent|X 3
pdb1y21.ent|A 3
pdb1yjh.ent|A 3
pdb1ntf.ent|A 3
pdb2z9n.ent|B 3
pdb3o4k.ent|B 3
pdb3cg9.ent|A 3
pdb3cg9.ent|B 3
pdb3nw3.ent|A 3
pdb3qs0.ent|B 3
pdb3tru.ent|D 3
pdb3uil.ent|D 3
pdb4fnn.ent|A 3
pdb2r90.ent|B 3
pdb3ng4.ent|D 3
pdb3nw3.ent|B 3
pdb3qj1.ent|A 3
pdb3qv4.ent|B 3
pdb3uml.ent|B 3
pdb3uml.ent|D 3
pdb3cg9.ent|D 3
pdb3o4k.ent|A 3
pdb3qj1.ent|D 3
pdb3rt4.ent|A 3
pdb3t2v.ent|A 3
pdb3umq.ent|B 3
pdb2f2l.ent|X 3
pdb2r90.ent|D 3
pdb3cxa.ent|B 3
pdb3ogx.ent|D 3
pdb3t2v.ent|B 3
pdb3t2v.ent|D 3
pdb3t39.ent|A 3
pdb3usx.ent|C 3
pdb4fnn.ent|D 3
pdb3unb.ent|u 3
pdb3une.ent|g 3
pdb1iru.ent|T 3
pdb3une.ent|S 3
pdb3unh.ent|E 3
pdb3unh.ent|S 3
pdb1iru.ent|F 3
pdb3unb.ent|E 3
pdb3unb.ent|S 3
pdb3unb.ent|g 3
pdb3unf.ent|E 3
pdb3unf.ent|S 3
pdb3une.ent|E 3
pdb3une.ent|u 3
pdb2wm8.ent|A 3
pdb1u7p.ent|B 3
pdb1u7p.ent|C 3
pdb1u7p.ent|D 3
pdb4ge5.ent|B 3
pdb4ge2.ent|B 3
pdb4ge5.ent|A 3
pdb4ge6.ent|B 3
pdb4ge2.ent|A 3
pdb2pa5.ent|B 3
pdb4ge6.ent|A 3
pdb1dcs.ent|A 2
pdb1uob.ent|A 2
pdb1rxf.ent|A 2
pdb1uo9.ent|A 2
pdb2jb8.ent|A 2
pdb1hjg.ent|A 2
pdb1e5i.ent|A 2
pdb1uof.ent|A 2
pdb1e5h.ent|A 2
pdb4dhf.ent|A 1
pdb4dhf.ent|B 1
pdb1qo2.ent|B 3
pdb1qo2.ent|A 3
pdb4dmn.ent|A 3
pdb1hyz.ent|A 3
pdb1b92.ent|A 3
pdb1q1g.ent|A 3
pdb1q1g.ent|B 3
pdb3phc.ent|F 3
pdb1nw4.ent|C 3
pdb1q1g.ent|D 3
pdb1q1g.ent|F 3
pdb3phc.ent|E 3
pdb1nw4.ent|A 3
pdb1nw4.ent|F 3
pdb1q1g.ent|C 3
pdb1q1g.ent|E 3
pdb1nw4.ent|B 3
pdb1nw4.ent|E 3
pdb3emv.ent|A 3
pdb3enz.ent|A 3
pdb3enz.ent|D 3
pdb3phc.ent|A 3
pdb3phc.ent|B 3
pdb1nw4.ent|D 3
pdb3enz.ent|B 3
pdb3enz.ent|C 3
pdb3enz.ent|F 3
pdb3phc.ent|D 3
pdb3fow.ent|B 3
pdb3phc.ent|C 3
pdb3fow.ent|A 3
pdb1sxr.ent|B 3
pdb1sxr.ent|A 3
pdb2z9n.ent|D 3
pdb1s2j.ent|A 3
pdb2cb3.ent|D 3
pdb3cxa.ent|C 3
pdb3cg9.ent|C 3
pdb3cor.ent|D 3
pdb4gf9.ent|C 3
pdb1s2j.ent|B 3
pdb3nw3.ent|C 3
pdb7pck.ent|A 3
pdb7pck.ent|D 3
pdb7pck.ent|B 3
pdb1lx7.ent|A 3
pdb2oxf.ent|A 3
pdb1ro2.ent|A 3
pdb1ro0.ent|A 3
pdb2w79.ent|A 3
pdb2cff.ent|B 3
pdb3c8w.ent|B 2
pdb3c8w.ent|A 2
pdb3c8w.ent|C 2
pdb3c8w.ent|D 2
pdb2np8.ent|A 3
pdb1z6i.ent|A 3
pdb2f2l.ent|A 3
pdb3p98.ent|B 3
pdb3cmz.ent|A 3
pdb1nyy.ent|A 3
pdb3jyi.ent|D 3
pdb4b88.ent|A 3
pdb1s0w.ent|A 3
pdb2b5r.ent|B 3
pdb3jyi.ent|B 3
pdb3jyi.ent|F 3
pdb3jyi.ent|C 3
pdb3toi.ent|B 3
pdb1btl.ent|A 3
pdb1ero.ent|A 3
pdb1nxy.ent|A 3
pdb1zg6.ent|A 3
pdb2g2w.ent|A 3
pdb3c4o.ent|A 3
pdb3gmw.ent|C 3
pdb3jyi.ent|A 3
pdb3jyi.ent|E 3
pdb3zdj.ent|A 3
pdb3zdj.ent|B 3
pdb1erq.ent|A 3
pdb1jwv.ent|A 3
pdb2g2u.ent|A 3
pdb3c4p.ent|A 3
pdb3n4i.ent|A 3
pdb3p98.ent|A 3
pdb4gku.ent|A 3
pdb1bt5.ent|A 3
pdb1fqg.ent|A 3
pdb1jwp.ent|A 3
pdb1xxm.ent|B 3
pdb2b5r.ent|A 3
pdb3dtm.ent|A 3
pdb3gmw.ent|A 3
pdb3toi.ent|A 3
pdb1m40.ent|A 3
pdb1s0w.ent|B 3
pdb1xxm.ent|A 3
pdb1htz.ent|D 3
pdb1yt4.ent|A 3
pdb3va3.ent|B 3
pdb3v9u.ent|C 3
pdb3v9w.ent|C 3
pdb3va3.ent|A 3
pdb3ngy.ent|B 3
pdb3nh1.ent|C 3
pdb3v9w.ent|D 3
pdb3ngz.ent|A 3
pdb3nh1.ent|D 3
pdb3v9u.ent|D 3
pdb3v9w.ent|A 3
pdb3v9w.ent|B 3
pdb3ngz.ent|B 3
pdb3nh0.ent|A 3
pdb3nh0.ent|B 3
pdb3nh2.ent|E 3
pdb3v9x.ent|C 3
pdb3nh1.ent|A 3
pdb3nh2.ent|B 3
pdb3v9x.ent|A 3
pdb3ngy.ent|A 3
pdb3nh2.ent|A 3
pdb3v9s.ent|A 3
pdb3v9s.ent|B 3
pdb3v9x.ent|D 3
pdb3v9z.ent|A 3
pdb3va0.ent|B 3
pdb3zvj.ent|G 3
pdb1zye.ent|J 3
pdb3tjb.ent|B 3
pdb3tjb.ent|A 3
pdb3zvj.ent|M 3
pdb3zvj.ent|A 3
pdb4ah9.ent|A 3
pdb3zsr.ent|B 3
pdb3avj.ent|B 3
pdb3zso.ent|B 3
pdb3zsw.ent|A 3
pdb4ah9.ent|B 3
pdb4aht.ent|A 3
pdb3avc.ent|A 3
pdb3avi.ent|A 3
pdb3avi.ent|B 3
pdb3avj.ent|A 3
pdb3avk.ent|A 3
pdb3avk.ent|B 3
pdb3avl.ent|B 3
pdb3nfa.ent|A 3
pdb3nfa.ent|B 3
pdb3zcm.ent|A 3
pdb3zsr.ent|A 3
pdb3zsv.ent|A 3
pdb3zsy.ent|B 3
pdb3zsv.ent|B 3
pdb3zsx.ent|A 3
pdb3zsx.ent|B 3
pdb3zt0.ent|A 3
pdb3zt2.ent|A 3
pdb3zt3.ent|A 3
pdb3zt4.ent|B 3
pdb4aht.ent|B 3
pdb4ahu.ent|A 3
pdb4ahu.ent|B 3
pdb4ahv.ent|B 3
pdb3ava.ent|A 3
pdb3avl.ent|A 3
pdb3avm.ent|A 3
pdb3zt1.ent|B 3
pdb3nf8.ent|A 3
pdb3zt1.ent|A 3
pdb4ahr.ent|A 3
pdb4ahv.ent|A 3
pdb3av9.ent|A 3
pdb3av9.ent|B 3
pdb3ava.ent|B 3
pdb3avf.ent|A 3
pdb3avc.ent|B 3
pdb3avg.ent|A 3
pdb3avg.ent|B 3
pdb3avm.ent|B 3
pdb3nf6.ent|A 3
pdb3nf8.ent|B 3
pdb3nf9.ent|B 3
pdb3zcm.ent|B 3
pdb3zsq.ent|B 3
pdb3zsy.ent|A 3
pdb3zsz.ent|A 3
pdb3zsz.ent|B 3
pdb3zt0.ent|B 3
pdb3zt4.ent|A 3
pdb3avb.ent|A 3
pdb3avb.ent|B 3
pdb3avf.ent|B 3
pdb3avh.ent|A 3
pdb3avn.ent|A 3
pdb3nf7.ent|A 3
pdb3nf9.ent|A 3
pdb3zso.ent|A 3
pdb3zsq.ent|A 3
pdb3zsw.ent|B 3
pdb4ahs.ent|A 3
pdb3avh.ent|B 3
pdb3avn.ent|B 3
pdb3nf6.ent|B 3
pdb3nf7.ent|B 3
pdb3zt2.ent|B 3
pdb4ahr.ent|B 3
pdb1d8i.ent|C 3
pdb1d8h.ent|B 3
pdb1d8h.ent|A 3
pdb1d8i.ent|B 3
pdb1d8i.ent|A 3
pdb1d8h.ent|C 3
pdb1jdu.ent|C 3
pdb1je1.ent|F 3
pdb1jpv.ent|C 3
pdb1jdv.ent|C 3
pdb1jdv.ent|F 3
pdb1jdz.ent|A 3
pdb1je1.ent|C 3
pdb1jdu.ent|A 3
pdb1je0.ent|A 3
pdb1je1.ent|E 3
pdb1jpv.ent|A 3
pdb1kqp.ent|A 3
pdb2nsy.ent|A 3
pdb1nsy.ent|B 3
pdb2pz8.ent|A 3
pdb2pza.ent|A 3
pdb2nsy.ent|B 3
pdb2pz8.ent|B 3
pdb2pza.ent|B 3
pdb1ih8.ent|A 3
pdb1nsy.ent|A 3
pdb1fyd.ent|A 3
pdb1ee1.ent|A 3
pdb1kqp.ent|B 3
pdb1sv6.ent|D 3
pdb1sv6.ent|E 3
pdb1sv6.ent|A 3
pdb1sv6.ent|C 3
pdb2wqt.ent|F 3
pdb2wqt.ent|G 3
pdb1sv6.ent|B 3
pdb2wqt.ent|H 3
pdb2wqt.ent|J 3
pdb2wqt.ent|M 3
pdb2wqt.ent|T 3
pdb2wqt.ent|K 3
pdb2wqt.ent|R 3
pdb2wqt.ent|C 3
pdb2wqt.ent|D 3
pdb2wqt.ent|O 3
pdb2wqt.ent|Q 3
pdb2wqt.ent|S 3
pdb2wqt.ent|L 3
pdb2wqt.ent|N 3
pdb2wqt.ent|B 3
pdb2wqt.ent|P 3
pdb2wqt.ent|A 3
pdb2wqt.ent|E 3
pdb2wqt.ent|I 3
pdb1xe3.ent|E 3
pdb1xe3.ent|D 3
pdb1xe3.ent|B 3
pdb1xe3.ent|C 3
pdb1xe3.ent|F 3
pdb1xe3.ent|A 3
pdb3uay.ent|A 3
pdb3uaz.ent|A 3
pdb4dan.ent|A 3
pdb2cy2.ent|A 3
pdb1wk4.ent|A 3
pdb1wk4.ent|C 3
pdb1wk4.ent|B 3
pdb2y27.ent|A 3
pdb2y27.ent|B 3
pdb3il4.ent|C 3
pdb3il4.ent|D 3
pdb3il4.ent|A 3
pdb3il6.ent|A 3
pdb3il5.ent|C 3
pdb3vpc.ent|C 3
pdb3vpb.ent|A 3
pdb3vpb.ent|B 3
pdb3vpb.ent|D 3
pdb3vpc.ent|D 3
pdb1r7y.ent|A 3
pdb2o1h.ent|A 3
pdb1zj0.ent|A 3
pdb2o1g.ent|A 3
pdb1zj2.ent|A 3
pdb1wt0.ent|A 3
pdb1wt1.ent|A 3
pdb1xz6.ent|A 3
pdb1ziz.ent|A 3
pdb1zjo.ent|A 3
pdb2rj6.ent|A 3
pdb1r7t.ent|A 3
pdb1r7x.ent|A 3
pdb1wt3.ent|A 3
pdb1zi3.ent|A 3
pdb2i7b.ent|A 3
pdb1r7v.ent|A 3
pdb1r82.ent|A 3
pdb1zi5.ent|A 3
pdb1zj1.ent|A 3
pdb1zj3.ent|A 3
pdb1lzi.ent|A 3
pdb1wt2.ent|A 3
pdb2a8w.ent|A 3
pdb1lz0.ent|A 3
pdb1lzj.ent|A 3
pdb1wsz.ent|A 3
pdb1zhj.ent|A 3
pdb1zi4.ent|A 3
pdb3sxd.ent|A 3
pdb1lz7.ent|A 3
pdb1zjp.ent|A 3
pdb2a8u.ent|A 3
pdb3i0k.ent|A 3
pdb3ioi.ent|A 3
pdb3sxc.ent|A 3
pdb3zgf.ent|B 3
pdb1rp0.ent|B 3
pdb1rp0.ent|A 3
pdb1ub7.ent|A 3
pdb1ub7.ent|D 3
pdb1ub7.ent|C 3
pdb1ub7.ent|B 3
pdb1w28.ent|A 2
pdb1w2a.ent|X 2
pdb1w2o.ent|A 2
pdb1zis.ent|H 3
pdb3mk3.ent|T 3
pdb3mk3.ent|U 3
pdb3nq4.ent|B 3
pdb3nq4.ent|D 3
pdb3nq4.ent|E 3
pdb3nq4.ent|1 3
pdb3nq4.ent|F 3
pdb3nq4.ent|M 3
pdb3nq4.ent|T 3
pdb3nq4.ent|W 3
pdb3nq4.ent|U 3
pdb1kz6.ent|E 3
pdb1zis.ent|J 3
